Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.39210526315789473,0.35819441537292934,serie_a,linear_regression,A,0.7566331557437311,0.1895602627903653,2022-07-01,760
Ridge Regression,0.37763157894736843,0.3335272678019529,serie_a,linear_regression,A,0.7529027341858082,0.19753197012214363,2022-07-01,760
Lasso Regression,0.3907894736842105,0.34305916842148726,serie_a,linear_regression,A,0.7504329605298243,0.20278806400497995,2022-07-01,760
Elastic Net Regression,0.39473684210526316,0.3589823951164224,serie_a,linear_regression,A,0.7523851545605338,0.19863489702399395,2022-07-01,760
