Class,precision,recall,f1-score,support,Model,League,Experiment,Option,SplitDate
A,0.5864197530864198,0.4166666666666667,0.48717948717948717,228.0,Lasso Regression,serie_a,linear_regression,B,2022-07-01
D,0.3115264797507788,0.4716981132075472,0.37523452157598497,212.0,Lasso Regression,serie_a,linear_regression,B,2022-07-01
H,0.6245487364620939,0.540625,0.5795644891122278,320.0,Lasso Regression,serie_a,linear_regression,B,2022-07-01
accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895,Lasso Regression,serie_a,linear_regression,B,2022-07-01
macro avg,0.5074983230997642,0.4763299266247379,0.4806594992892333,760.0,Lasso Regression,serie_a,linear_regression,B,2022-07-01
weighted avg,0.5257933066825512,0.4842105263157895,0.49485168179861155,760.0,Lasso Regression,serie_a,linear_regression,B,2022-07-01
