Class,precision,recall,f1-score,support,Model,League,Experiment,Option,SplitDate
A,0.6038961038961039,0.40789473684210525,0.4869109947643979,228.0,Ridge Regression,serie_a,linear_regression,B,2022-07-01
D,0.30973451327433627,0.49528301886792453,0.3811252268602541,212.0,Ridge Regression,serie_a,linear_regression,B,2022-07-01
H,0.6254681647940075,0.521875,0.5689948892674617,320.0,Ridge Regression,serie_a,linear_regression,B,2022-07-01
accuracy,0.48026315789473684,0.48026315789473684,0.48026315789473684,0.48026315789473684,Ridge Regression,serie_a,linear_regression,B,2022-07-01
macro avg,0.5130329273214825,0.47501758523667653,0.4790103702973712,760.0,Ridge Regression,serie_a,linear_regression,B,2022-07-01
weighted avg,0.5309234753112545,0.48026315789473684,0.49196397298190037,760.0,Ridge Regression,serie_a,linear_regression,B,2022-07-01
