Drużyna,Łączna liczba punktów
Barcelona,780
Real Madrid,762
Atletico Madrid,709
Sevilla,554
Villarreal,530
Sociedad,512
Athletic Bilbao,496
Valencia,483
Real Betis,437
Celta,429
Getafe,349
Espanol,329
Alaves,267
Eibar,260
Vallecano,248
Levante,235
Girona,218
Osasuna,211
Granada,199
Malaga,164
Cadiz,158
Las Palmas,145
Elche,144
Deportivo La Coruna,142
Mallorca,129
Leganes,123
Valladolid,112
Almeria,94
Sp Gijon,70
Huesca,67
Cordoba,20
