Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
SP1,2014-08-29,Getafe,Almeria,1,0,H,12,11,3,4,17,11,2,3,3,2,0,0,2.0,3.4,3.75,2.09,3.43,4.0,2.12,3.5,4.05,2.06,3.33,3.78,49.0,2014/2015,1,-1,-1,6,1,1,1,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.0607843137254902,-1.75,0.469080677089922,0.28582466913059384,0.24509465377948425,0.02001408902590418,-1.9100000000000001,0.06000000000000005,0.16999999999999993,0.27,1.0,3.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-2.0,0.0,1,8,4,0,0.0,-2.0,1.0,0.0,-1.0,-2.0,0.25,0.2499375156210947,0.5,0.49975012493753124,-0.25,-0.24981260931643653,0.0,1.0,-1.0,0.21996303142329016,0.22398602331043777,0,0,0
SP1,2014-08-29,Valencia,Malaga,3,0,H,14,17,4,4,18,11,4,6,1,2,0,1,1.55,4.2,5.5,1.59,4.21,6.55,1.62,4.35,6.65,1.56,4.04,6.13,48.0,2014/2015,-3,0,-2,7,-2,3,3,0.6057427559984266,0.2235479218565622,0.17070932214501117,0.06507471023600053,-3.95,0.6171238410255148,0.23307052428279537,0.14980563469168984,0.019132264546655176,-4.96,0.06000000000000005,0.3099999999999996,0.5200000000000005,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,-1.0,-2.0,-1.0,-1.0,1.0,-2.0,-1.0,-2.0,-1.0,0.0,1,8,4,0,1.0,0.0,3.0,1.0,-2.0,-1.0,0.5,0.49975012493753124,1.0,0.9990009990009991,-0.5,-0.4992508740634679,1.0,3.0,-2.0,0.4350334338534155,0.4673182063338249,1,0,0
SP1,2014-08-30,Athletic Bilbao,Levante,3,0,H,10,10,5,2,13,17,2,11,1,4,0,0,1.33,5.0,9.0,1.34,5.32,11.31,1.41,5.35,12.0,1.34,4.87,10.18,49.0,2014/2015,0,3,-9,-4,-3,3,3,0.7073247406475951,0.1881483810122603,0.10452687834014461,0.06299081035923138,-7.67,0.7297358265395968,0.18380564051937215,0.08645853294103092,0.02265591132508815,-9.97,0.06999999999999984,0.47999999999999954,1.8200000000000003,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,8,5,1,0.0,-1.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027978623074505,0.6432772935985659,1,0,0
SP1,2014-08-30,Atletico Madrid,Eibar,2,1,H,15,8,6,2,12,18,5,5,3,0,0,0,1.22,5.75,13.0,1.25,6.3,16.46,1.27,6.8,17.5,1.24,5.85,13.4,49.0,2014/2015,7,4,0,-6,3,1,3,0.765685019206146,0.16245838668373877,0.07185659411011523,0.07050825154887885,-11.78,0.7847110815146655,0.1556966431576717,0.059592275327662925,0.019483500163937517,-15.21,0.030000000000000027,0.9500000000000002,4.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,0.0,-2.0,-1.0,-2.0,-1.0,0.0,1,8,5,1,1.0,0.0,3.0,1.0,-2.0,-1.0,0.0,0.0,1.0,0.9990009990009991,-1.0,-0.9990009990009991,1.0,3.0,-2.0,0.6938284250960307,0.7251188061870026,1,0,0
SP1,2014-08-30,Cordoba,Celta,1,1,D,6,9,1,4,14,17,1,6,1,4,0,0,3.3,3.3,2.2,3.43,3.35,2.33,3.47,3.45,2.39,3.25,3.25,2.28,49.0,2014/2015,-3,-3,-5,-3,-3,0,2,0.28571428571428575,0.28571428571428575,0.4285714285714286,0.06060606060606055,1.0999999999999996,0.28604253167154675,0.292873398099524,0.4210840702289294,0.01923720154716335,1.1,0.2200000000000002,0.20000000000000018,0.11000000000000032,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,-3.0,1.0,-4.0,-3.0,-1.0,0.0,0.0,-3.0,-4.0,-3.0,-4.0,0.0,1,8,5,1,0.0,-2.0,3.0,2.0,-3.0,-4.0,0.0,0.0,1.5,0.7498125468632841,-1.5,-0.7498125468632841,0.0,3.0,-3.0,-0.14285714285714285,-0.13504153855738266,0,0,0
SP1,2014-08-30,Espanol,Sevilla,1,2,A,4,13,2,6,20,24,3,7,4,2,0,0,2.5,3.2,2.88,2.53,3.35,3.06,2.63,3.4,3.15,2.48,3.23,2.92,49.0,2014/2015,-9,-4,-4,-4,2,-1,3,0.3774574049803408,0.2948885976408912,0.327653997378768,0.05972222222222223,-0.3799999999999999,0.3872934793696611,0.2924932844194753,0.32021323621086356,0.02056176530352971,-0.5300000000000002,0.1499999999999999,0.16999999999999993,0.22999999999999998,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,5,1,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.49975012493753124,0.5,0.49975012493753124,0.0,0.0,1.0,1.0,0.0,0.04980340760157281,0.06708024315879751,0,0,1
SP1,2014-08-31,Deportivo La Coruna,Vallecano,2,2,D,10,12,5,2,16,18,2,4,4,6,0,0,2.25,3.3,3.2,2.35,3.33,3.4,2.39,3.45,3.5,2.27,3.25,3.22,49.0,2014/2015,-2,3,-2,-2,-2,0,4,0.41929720071471116,0.2858844550327576,0.2948183442525313,0.0599747474747474,-0.9500000000000002,0.41720865960386916,0.29442653155228005,0.28836480884385074,0.01994986225274098,-1.0499999999999998,0.1200000000000001,0.20000000000000018,0.2799999999999998,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,8,6,1,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.3333333333333333,0.33322225924691773,0.0,0.0,0.3333333333333333,0.33322225924691773,0.0,1.0,-1.0,0.12447885646217988,0.12884385076001842,0,0,1
SP1,2014-08-31,Elche,Granada,1,1,D,15,5,3,4,12,17,8,4,4,4,0,0,2.2,3.2,3.4,2.32,3.28,3.53,2.32,3.35,3.65,2.25,3.16,3.36,49.0,2014/2015,10,-1,4,-5,0,0,2,0.4283464566929133,0.2944881889763779,0.27716535433070866,0.06116310160427818,-1.1999999999999997,0.422915083864181,0.299135059318567,0.27794985681725204,0.019198650519278493,-1.21,0.06999999999999984,0.18999999999999995,0.29000000000000004,0.0,3.0,-3.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,-3.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,-2.0,2.0,-4.0,-3.0,-1.0,0.0,0.0,-3.0,-4.0,-3.0,-4.0,0.0,1,8,6,1,0.0,-3.0,3.0,1.0,-3.0,-4.0,0.0,0.0,1.0,0.6664445184938355,-1.0,-0.6664445184938355,0.0,3.0,-3.0,0.15118110236220467,0.14496522704692894,0,0,1
SP1,2014-08-31,Sociedad,Real Madrid,4,2,H,13,19,5,5,18,12,8,6,1,2,0,0,7.5,5.0,1.36,8.75,5.34,1.39,8.9,5.32,1.45,7.9,4.87,1.38,49.0,2014/2015,-6,0,2,6,-1,2,6,0.12477064220183487,0.1871559633027523,0.6880733944954128,0.06862745098039214,6.14,0.11193769878193517,0.18341851392171027,0.7046437872963546,0.020976092320365236,7.36,1.0,0.4500000000000002,0.07000000000000006,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,-2.0,1.0,-3.0,-3.0,-1.0,-1.0,1.0,-3.0,-3.0,-3.0,-3.0,0.0,1,8,6,1,0.0,-1.0,3.0,2.0,-3.0,-3.0,0.0,0.0,2.0,0.9995002498750625,-2.0,-0.9995002498750625,0.0,3.0,-3.0,-0.563302752293578,-0.5927060885144194,0,1,0
SP1,2014-08-31,Villarreal,Barcelona,0,1,A,9,20,0,8,12,9,3,10,0,2,0,0,5.0,4.2,1.57,5.58,4.48,1.62,5.8,4.5,1.66,5.31,4.13,1.6,49.0,2014/2015,-11,-8,-7,3,-2,-1,1,0.18603995034420495,0.22147613136214872,0.5924839182936462,0.07503791325447384,3.4299999999999997,0.17574753726789294,0.2188998343649202,0.6053526283671867,0.01970970586561993,3.96,0.4900000000000002,0.3700000000000001,0.05999999999999983,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1,8,6,1,3.0,2.0,3.0,3.0,0.0,-1.0,2.0,0.9995002498750625,3.0,0.9996667777407531,-1.0,-0.00016652786569060218,3.0,3.0,0.0,-0.40644396794944126,-0.4296050910992938,0,0,0
