Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.39342105263157895,0.38676318640100305,0.7770076218425537,0.1946980430355777
Ridge Regression,0.3881578947368421,0.3809057376921841,0.7754806994857937,0.19785998207327848
Lasso Regression,0.3671052631578947,0.3557952270430434,0.7725124181386289,0.20398887854070658
Elastic Net Regression,0.36578947368421055,0.3545325508327155,0.77251393028021,0.20398576226020282
