Metric,Baseline_HomeWin,Linear_Model,Gain_vs_Baseline
Accuracy,0.4723684210526316,0.6776315789473685,0.20526315789473687
Macro-F1,0.32082216264521896,0.6708613286808469,0.35003916603562796
