Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.6776315789473685,0.6708613286808469,0.4579924470627065,0.15840141767584992
Ridge Regression,0.6657894736842105,0.6547332875457875,0.4577003541944733,0.15947456443083463
Lasso Regression,0.6802631578947368,0.6722271621240277,0.45564196061830126,0.16701767302447668
Elastic Net Regression,0.6855263157894737,0.6784170840481489,0.45543470940121106,0.1677752737445638
