Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.5052631578947369,0.48498088252186616,premier_league,linear_regression,B,1.747449935549248,0.22301826178844986,2022-07-01,760
Ridge Regression,0.4986842105263158,0.4825768410466252,premier_league,linear_regression,B,1.7520488933896206,0.21892314201738605,2022-07-01,760
Lasso Regression,0.5184210526315789,0.499047619047619,premier_league,linear_regression,B,1.7497224189570222,0.2209960851681455,2022-07-01,760
Elastic Net Regression,0.5157894736842106,0.49717477906040325,premier_league,linear_regression,B,1.750189874620259,0.22057979235411218,2022-07-01,760
