Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.39342105263157895,0.38676318640100305,premier_league,linear_regression,Outcome Regression,0.7770076218425548,0.19469804303557525,2022-07-01,760
Ridge Regression,0.3881578947368421,0.3809057376921841,premier_league,linear_regression,Outcome Regression,0.7754806994857936,0.1978599820732786,2022-07-01,760
Lasso Regression,0.3671052631578947,0.3557952270430434,premier_league,linear_regression,Outcome Regression,0.7725124181386289,0.20398887854070658,2022-07-01,760
Elastic Net Regression,0.36578947368421055,0.3545325508327155,premier_league,linear_regression,Outcome Regression,0.77251393028021,0.20398576226020282,2022-07-01,760
