precision,recall,f1-score,support,Model,League
0.5364806866952789,0.5482456140350878,0.5422993492407809,228.0,Decision Tree (Multiclass),serie_a
0.3018181818181818,0.3915094339622642,0.3408624229979466,212.0,Decision Tree (Multiclass),serie_a
0.6428571428571429,0.50625,0.5664335664335665,320.0,Decision Tree (Multiclass),serie_a
0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,Decision Tree (Multiclass),serie_a
0.49371867045686785,0.48200168266578397,0.48319844622409797,760.0,Decision Tree (Multiclass),serie_a
0.5158122852977156,0.4868421052631579,0.49627082442263687,760.0,Decision Tree (Multiclass),serie_a
