Metric,Baseline_HomeWin,Decision_Tree,Gain_vs_Baseline
Accuracy,0.42105263157894735,0.4868421052631579,0.06578947368421056
Macro-F1,0.19753086419753085,0.48319844622409797,0.2856675820265671
