Metric,Baseline_HomeWin,Random_Forest,Gain_vs_Baseline
Accuracy,0.41253644314868804,0.4868804664723032,0.07434402332361517
Macro-F1,0.19470244238046097,0.44719140994281786,0.2524889675623569
