Metric,Baseline_HomeWin,Linear_Model,Gain_vs_Baseline
Accuracy,0.45921052631578946,0.6710526315789473,0.2118421052631579
Macro-F1,0.3146979260595131,0.6584478431880119,0.3437499171284988
