Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.6710526315789473,0.6584478431880119,0.4607821844098739,0.14502917671760496
Ridge Regression,0.6763157894736842,0.6624563988127478,0.4594638963793732,0.14991428529783202
Lasso Regression,0.6763157894736842,0.663557052777058,0.45870427458034707,0.15272281866884208
Elastic Net Regression,0.6736842105263158,0.6608217442630503,0.4585619449760903,0.15324853392149107
