Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.3513157894736842,0.28678236966354587,0.7624032716314691,0.18249784947037917
Ridge Regression,0.3605263157894737,0.29706587953629976,0.7615226736900781,0.18438523634360338
Lasso Regression,0.35,0.2831132738391862,0.7615351737666246,0.18435846017263502
Elastic Net Regression,0.3513157894736842,0.28448617059392467,0.7614441968027512,0.1845533301169916
