Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.49473684210526314,0.4665895980026529,la_liga,linear_regression,GoalDiff Regression,1.438220927063763,0.2290936649527936,2022-07-01,760
Lasso Regression,0.4868421052631579,0.4585134730945972,la_liga,linear_regression,GoalDiff Regression,1.4362648335859753,0.23118922530831987,2022-07-01,760
Elastic Net Regression,0.4868421052631579,0.45841024557118587,la_liga,linear_regression,GoalDiff Regression,1.4373176226659028,0.23006172818573445,2022-07-01,760
Ridge Regression,0.4842105263157895,0.4530726663754187,la_liga,linear_regression,GoalDiff Regression,1.4379675163205095,0.2293653043554268,2022-07-01,760
