Metric,Baseline_HomeWin,Linear_Regression,Gain_vs_Baseline
Accuracy,0.45921052631578946,0.3513157894736842,-0.10789473684210527
Macro-F1,0.20979861737300873,0.28678236966354587,0.07698375229053714
