Metric,Baseline_HomeWin,Random_Forest,Gain_vs_Baseline
Accuracy,0.42105263157894735,0.5092105263157894,0.0881578947368421
Macro-F1,0.19753086419753085,0.4889729294458672,0.2914420652483363
